City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
yellowknife,40,CA,1579055788,66,35.570900349660974,121.1723778269668,-32.8,2.24
qingdao,0,CN,1579055788,55,-43.71280660043907,115.83456465743183,35.01,6.71
albany,90,US,1579055619,96,65.34764898381391,-136.3740398140354,41.0,12.75
mayo,90,US,1579055788,95,-38.14031359804967,-147.71998731958854,48.99,3.36
mataura,0,NZ,1579055788,59,46.69289349050939,168.64398777287812,66.9,10.56
nikolskoye,75,RU,1579055788,86,61.75139882410966,-37.987588188406534,37.4,11.18
tasiilaq,97,GL,1579055788,57,4.44669346449156,78.29044911481145,17.6,4.7
galle,34,LK,1579055789,76,-24.71304779029775,135.01170210900347,76.6,4.68
alice springs,24,AU,1579055789,11,77.26497739596249,-91.6872613319766,100.4,14.99
qaanaaq,76,GL,1579055789,55,-34.2001278920014,-27.28624661070495,-14.94,7.4
arraial do cabo,0,BR,1579055789,88,7.564891607897806,35.38439297191431,73.4,3.36
gore,0,NZ,1579055789,59,54.41309008215276,135.81899814171766,66.9,10.56
chumikan,0,RU,1579055789,69,-29.98294895363025,151.42694001283093,4.98,11.25
inverell,76,AU,1579055789,41,70.68538277796009,-17.88692178867339,90.0,5.01
bredasdorp,96,ZA,1579055789,94,-60.62696271890011,21.23216431948282,73.99,5.82
oneonta,90,US,1579055790,85,42.40627568839247,-74.89015180017229,42.01,3.0
hithadhoo,100,MV,1579055790,79,-1.269754461318243,78.44930958062673,81.46,16.53
mar del plata,0,AR,1579055497,73,-50.01138899850678,-46.53713745103548,77.0,9.17
dikson,100,RU,1579055790,99,79.84656287365056,69.91430593168349,-13.86,16.73
castro,95,BR,1579055535,94,-53.747861101562684,-107.62366436029188,63.79,5.5
tigil,100,RU,1579055790,95,57.9590194039142,156.48181841247475,23.95,23.44
eureka,90,US,1579055732,81,42.03343879695083,-125.48359464673854,44.6,3.36
strezhevoy,90,RU,1579055523,92,60.40532583889751,77.14283121560038,21.2,6.71
katobu,42,ID,1579055790,61,-5.188244783181204,125.53081208173694,88.66,4.45
avarua,74,CK,1579055791,78,89.44485490762642,3.1416874394549836,82.4,17.22
tiksi,100,RU,1579055791,88,-36.65442467460078,-163.5865363346722,-8.48,10.18
carnarvon,0,AU,1579055791,79,86.42225706517527,126.59407502352957,84.2,11.41
asau,90,RO,1579055791,100,-25.878612361596154,86.96008709478463,30.0,4.7
port elizabeth,75,ZA,1579055791,100,-7.385292197111141,177.90783582261633,69.8,3.36
ushuaia,75,AR,1579055576,75,76.37807830135984,51.18115486586149,42.8,26.4
smithers,5,CA,1579055649,75,-78.77876970264397,36.62436711383282,-20.2,2.66
airai,68,TL,1579055791,69,-58.34060834695525,-55.157527871187796,78.31,4.41
lavrentiya,96,RU,1579055792,95,-64.51907726436107,-155.1415466405414,18.52,4.12
khakhea,0,BW,1579055792,52,57.55726996756633,-125.60367817010022,72.5,7.47
khatanga,100,RU,1579055792,97,15.682246371305041,147.95934593003676,-2.87,8.93
lebu,0,CL,1579055792,69,65.21726349613735,-170.22458237109709,53.85,10.96
